Index,RStation,Country,,
1417,Mudzi Wathu,Malawi,,
1418,Mudzi Wathu,Malawi,,
1419,Mudzi Wathu,Malawi,,
1420,Mudzi Wathu,Malawi,,
1421,Mudzi Wathu,Malawi,,
1422,Mudzi Wathu,Malawi,,
1423,Mudzi Wathu,Malawi,,
1424,Mudzi Wathu,Malawi,,
1425,Mudzi Wathu,Malawi,,
1426,Nam Lolwe,Kenya,,
1427,Nam Lolwe,Kenya,,
1428,Nam Lolwe,Kenya,,
1429,Buddu,Uganda,,
1430,Buddu,Uganda,,
1431,Buddu,Uganda,,
1432,Buddu,Uganda,,
1433,Buddu,Uganda,,
1434,Buddu,Uganda,,
1435,Buddu,Uganda,,
1436,Buddu,Uganda,,
1437,Buddu,Uganda,,
1438,Buddu,Uganda,,
1439,Buddu,Uganda,,
1440,Buddu,Uganda,,
1441,Buddu,Uganda,,
1442,Buddu,Uganda,,
1443,Buddu,Uganda,,
1444,Buddu,Uganda,,
1445,Buddu,Uganda,,
1446,Buddu,Uganda,,
1447,Buddu,Uganda,,
1448,Buddu,Uganda,,
1449,Buddu,Uganda,,
1450,Buddu,Uganda,,
1451,Buddu,Uganda,,
1452,Buddu,Uganda,,
1453,Buddu,Uganda,,
1454,Buddu,Uganda,,
1455,Buddu,Uganda,,
1456,Buddu,Uganda,,
1457,Buddu,Uganda,,
1458,Buddu,Uganda,,
1459,Buddu,Uganda,,
1460,Buddu,Uganda,,
1461,Buddu,Uganda,,
1462,Buddu,Uganda,,
1463,Buddu,Uganda,,
1464,Buddu,Uganda,,
1465,Buddu,Uganda,,
1466,Buddu,Uganda,,
1467,Buddu,Uganda,,
1468,Buddu,Uganda,,
1469,Buddu,Uganda,,
1470,Buddu,Uganda,,
1471,Buddu,Uganda,,
1472,Buddu,Uganda,,
1473,Buddu,Uganda,,
1474,Buddu,Uganda,,
1475,Buddu,Uganda,,
1476,Buddu,Uganda,,
1477,Buddu,Uganda,,
1478,Buddu,Uganda,,
1479,Buddu,Uganda,,
1480,Buddu,Uganda,,
1481,Buddu,Uganda,,
1482,Buddu,Uganda,,
1483,Buddu,Uganda,,
1484,Buddu,Uganda,,
1485,Buddu,Uganda,,
1486,Buddu,Uganda,,
1487,Buddu,Uganda,,
1488,Buddu,Uganda,,
1489,Buddu,Uganda,,
1490,Buddu,Uganda,,
1491,Buddu,Uganda,,
1492,Buddu,Uganda,,
1493,Buddu,Uganda,,
1494,Buddu,Uganda,,
1495,Buddu,Uganda,,
1496,Nam Lolwe,Kenya,,
1497,Nam Lolwe,Kenya,,
1498,Nam Lolwe,Kenya,,
1499,Nam Lolwe,Kenya,,
1500,Nam Lolwe,Kenya,,
1501,Nam Lolwe,Kenya,,
1502,Nam Lolwe,Kenya,,
1503,Nam Lolwe,Kenya,,
1504,Nam Lolwe,Kenya,,
1505,Nam Lolwe,Kenya,,
1506,Nam Lolwe,Kenya,,
1507,Nam Lolwe,Kenya,,
1508,Nam Lolwe,Kenya,,
1509,Nam Lolwe,Kenya,,
1510,Nam Lolwe,Kenya,,
1511,Nam Lolwe,Kenya,,
1512,Nam Lolwe,Kenya,,
1513,Nkhotakota,Malawi,,
1514,Nkhotakota,Malawi,,
1515,Nkhotakota,Malawi,,
1516,Nkhotakota,Malawi,,
1517,Nkhotakota,Malawi,,
1518,Nkhotakota,Malawi,,
1519,Gbafth,Sierra Leone,,
1520,Gbafth,Sierra Leone,,
1521,Gbafth,Sierra Leone,,
1522,Gbafth,Sierra Leone,,
1523,Gbafth,Sierra Leone,,
1524,Gbafth,Sierra Leone,,
1525,Gbafth,Sierra Leone,,
1526,Gbafth,Sierra Leone,,
1527,Gbafth,Sierra Leone,,
1528,Gbafth,Sierra Leone,,
1529,Nkhotakota,Malawi,,
1530,Nkhotakota,Malawi,,
1531,Nkhotakota,Malawi,,
1532,Nkhotakota,Malawi,,
1533,Nkhotakota,Malawi,,
1534,Nkhotakota,Malawi,,
1535,Nkhotakota,Malawi,,
1536,Nkhotakota,Malawi,,
1537,Nkhotakota,Malawi,,
1538,Nkhotakota,Malawi,,
1539,Nkhotakota,Malawi,,
1540,Gorongosa,Mozambique,,
1541,Gorongosa,Mozambique,,
1542,Gorongosa,Mozambique,,
1543,Gorongosa,Mozambique,,
1544,Gorongosa,Mozambique,,
1545,Gorongosa,Mozambique,,
1546,Gorongosa,Mozambique,,
1547,Gorongosa,Mozambique,,
1548,Gorongosa,Mozambique,,
1549,Gorongosa,Mozambique,,
1550,Gorongosa,Mozambique,,
1551,Gorongosa,Mozambique,,
1552,Gorongosa,Mozambique,,
1553,Gorongosa,Mozambique,,
1554,Gorongosa,Mozambique,,
1555,Gorongosa,Mozambique,,
1556,Gorongosa,Mozambique,,
1557,Gorongosa,Mozambique,,
1558,Gorongosa,Mozambique,,
1559,Gorongosa,Mozambique,,
1560,Gorongosa,Mozambique,,
1561,Gorongosa,Mozambique,,
1562,Gorongosa,Mozambique,,
1563,Gorongosa,Mozambique,,
1564,Gorongosa,Mozambique,,
1565,Gorongosa,Mozambique,,
1566,Gorongosa,Mozambique,,
1567,Gorongosa,Mozambique,,
1568,Gorongosa,Mozambique,,
1569,Gorongosa,Mozambique,,
1570,Gorongosa,Mozambique,,
1571,Gorongosa,Mozambique,,
1572,Gorongosa,Mozambique,,
1573,Gorongosa,Mozambique,,
1574,Gorongosa,Mozambique,,
1575,Gorongosa,Mozambique,,
1576,Gorongosa,Mozambique,,
1577,Gorongosa,Mozambique,,
1578,Gorongosa,Mozambique,,
1579,Gorongosa,Mozambique,,
1580,Gorongosa,Mozambique,,
1581,Gorongosa,Mozambique,,
1582,Gorongosa,Mozambique,,
1583,Gorongosa,Mozambique,,
1584,Gorongosa,Mozambique,,
1585,Gorongosa,Mozambique,,
1586,Gorongosa,Mozambique,,
1587,Gorongosa,Mozambique,,
1588,Gorongosa,Mozambique,,
1589,Gorongosa,Mozambique,,
1590,Gorongosa,Mozambique,,
1591,Gorongosa,Mozambique,,
1592,Gorongosa,Mozambique,,
1593,Gorongosa,Mozambique,,
1594,Gorongosa,Mozambique,,
1595,Gorongosa,Mozambique,,
1596,Gorongosa,Mozambique,,
1597,Gorongosa,Mozambique,,
1598,Gorongosa,Mozambique,,
1599,Gorongosa,Mozambique,,
1600,Gorongosa,Mozambique,,
1601,Gorongosa,Mozambique,,
1602,Gorongosa,Mozambique,,
1603,Gorongosa,Mozambique,,
1604,Gorongosa,Mozambique,,
1605,Gorongosa,Mozambique,,
1606,Gorongosa,Mozambique,,
1607,Gorongosa,Mozambique,,
1608,Gorongosa,Mozambique,,
1609,Gorongosa,Mozambique,,
1610,Gorongosa,Mozambique,,
1611,Gorongosa,Mozambique,,
1612,Gorongosa,Mozambique,,
1613,Gorongosa,Mozambique,,
1614,Gorongosa,Mozambique,,
1615,Gorongosa,Mozambique,,
1616,Gorongosa,Mozambique,,
1617,Gorongosa,Mozambique,,
1618,Gorongosa,Mozambique,,
1619,Nam Lolwe,Kenya,,
1620,Breeze,Zambia,,
1621,Breeze,Zambia,,
1622,Breeze,Zambia,,
1623,Breeze,Zambia,,
1624,Breeze,Zambia,,
1625,Breeze,Zambia,,
1626,Breeze,Zambia,,
1627,Breeze,Zambia,,
1628,Breeze,Zambia,,
1629,Breeze,Zambia,,
1630,Breeze,Zambia,,
1631,Breeze,Zambia,,
1632,Breeze,Zambia,,
1633,Breeze,Zambia,,
1634,Breeze,Zambia,,
1635,Breeze,Zambia,,
1636,Breeze,Zambia,,
1637,Breeze,Zambia,,
1638,Breeze,Zambia,,
1639,Breeze,Zambia,,
1640,Breeze,Zambia,,
1641,Breeze,Zambia,,
1642,Breeze,Zambia,,
1643,Breeze,Zambia,,
1644,Breeze,Zambia,,
1645,Breeze,Zambia,,
1646,Breeze,Zambia,,
1647,Breeze,Zambia,,
1648,Breeze,Zambia,,
1649,Breeze,Zambia,,
1650,Breeze,Zambia,,
1651,Breeze,Zambia,,
1652,Breeze,Zambia,,
1653,Breeze,Zambia,,
1654,Breeze,Zambia,,
1655,Breeze,Zambia,,
1656,Breeze,Zambia,,
1657,Breeze,Zambia,,
1658,Breeze,Zambia,,
1659,Breeze,Zambia,,
1660,Breeze,Zambia,,
1661,Breeze,Zambia,,
1662,Breeze,Zambia,,
1663,Breeze,Zambia,,
1664,Breeze,Zambia,,
1665,Breeze,Zambia,,
1666,Breeze,Zambia,,
1667,Breeze,Zambia,,
1668,Breeze,Zambia,,
1669,Breeze,Zambia,,
1670,Breeze,Zambia,,
1671,Breeze,Zambia,,
1672,Breeze,Zambia,,
1673,Breeze,Zambia,,
1674,Breeze,Zambia,,
1675,Breeze,Zambia,,
1676,Breeze,Zambia,,
1677,Breeze,Zambia,,
1678,Breeze,Zambia,,
1679,Breeze,Zambia,,
1680,Breeze,Zambia,,
1681,Breeze,Zambia,,
1682,Breeze,Zambia,,
1683,Breeze,Zambia,,
1684,Breeze,Zambia,,
1685,Breeze,Zambia,,
1686,Breeze,Zambia,,
1687,Breeze,Zambia,,
1688,Breeze,Zambia,,
1689,Breeze,Zambia,,
1690,Breeze,Zambia,,
1691,Breeze,Zambia,,
1692,Breeze,Zambia,,
1693,Breeze,Zambia,,
1694,Breeze,Zambia,,
1695,Breeze,Zambia,,
1696,Mudzi Wathu,Malawi,,
1697,Mudzi Wathu,Malawi,,
1698,Mudzi Wathu,Malawi,,
1699,Mudzi Wathu,Malawi,,
1700,Mudzi Wathu,Malawi,,
1701,Mudzi Wathu,Malawi,,
1702,Mudzi Wathu,Malawi,,
1703,Mudzi Wathu,Malawi,,
1704,Mudzi Wathu,Malawi,,
1705,Mudzi Wathu,Malawi,,
1706,Mudzi Wathu,Malawi,,
1707,Mudzi Wathu,Malawi,,
1708,Mudzi Wathu,Malawi,,
1709,Mudzi Wathu,Malawi,,
1710,Nam Lolwe,Kenya,,
1711,Nam Lolwe,Kenya,,
1712,Nam Lolwe,Kenya,,
1713,Buddu,Uganda,,
1714,Buddu,Uganda,,
1715,Buddu,Uganda,,
1716,Buddu,Uganda,,
1717,Buddu,Uganda,,
1718,Nam Lolwe,Kenya,,
1719,Nam Lolwe,Kenya,,
1720,Nam Lolwe,Kenya,,
1721,Nam Lolwe,Kenya,,
1722,Nam Lolwe,Kenya,,
1723,Nam Lolwe,Kenya,,
1724,Nam Lolwe,Kenya,,
1725,Nam Lolwe,Kenya,,
1726,Nam Lolwe,Kenya,,
1727,Nam Lolwe,Kenya,,
1728,Nam Lolwe,Kenya,,
1729,Nam Lolwe,Kenya,,
1730,Nam Lolwe,Kenya,,
1731,Nam Lolwe,Kenya,,
1732,Nam Lolwe,Kenya,,
1733,Nkhotakota,Malawi,,
1734,Nkhotakota,Malawi,,
1735,Nkhotakota,Malawi,,
1736,Nkhotakota,Malawi,,
1737,Nkhotakota,Malawi,,
1738,Gbafth,Sierra Leone,,
1739,Gbafth,Sierra Leone,,
1740,Gbafth,Sierra Leone,,
1741,Gbafth,Sierra Leone,,
1742,Gbafth,Sierra Leone,,
1743,Gbafth,Sierra Leone,,
1744,Gbafth,Sierra Leone,,
1745,Gbafth,Sierra Leone,,
1746,Gbafth,Sierra Leone,,
1747,Gbafth,Sierra Leone,,
1748,Gbafth,Sierra Leone,,
1749,Gbafth,Sierra Leone,,
1750,Gbafth,Sierra Leone,,
1751,Gbafth,Sierra Leone,,
1752,Gbafth,Sierra Leone,,
1753,Gbafth,Sierra Leone,,
1754,Gbafth,Sierra Leone,,
1755,Gbafth,Sierra Leone,,
1756,Gbafth,Sierra Leone,,
1757,Gbafth,Sierra Leone,,
1758,Gbafth,Sierra Leone,,
1759,Gbafth,Sierra Leone,,
1760,Gbafth,Sierra Leone,,
1761,Gbafth,Sierra Leone,,
1762,Gbafth,Sierra Leone,,
1763,Gbafth,Sierra Leone,,
1764,Gbafth,Sierra Leone,,
1765,Gbafth,Sierra Leone,,
1766,Gbafth,Sierra Leone,,
1767,Gbafth,Sierra Leone,,
1768,Gbafth,Sierra Leone,,
1769,Gbafth,Sierra Leone,,
1770,Gbafth,Sierra Leone,,
1771,Gbafth,Sierra Leone,,
1772,Gbafth,Sierra Leone,,
1773,Gbafth,Sierra Leone,,
1774,Gbafth,Sierra Leone,,
1775,Gbafth,Sierra Leone,,
1776,Gbafth,Sierra Leone,,
1777,Gbafth,Sierra Leone,,
1778,Gbafth,Sierra Leone,,
1779,Gbafth,Sierra Leone,,
1780,Gbafth,Sierra Leone,,
1781,Gbafth,Sierra Leone,,
1782,Gbafth,Sierra Leone,,
1783,Gbafth,Sierra Leone,,
1784,Gbafth,Sierra Leone,,
1785,Gbafth,Sierra Leone,,
1786,Gbafth,Sierra Leone,,
1787,Gbafth,Sierra Leone,,
1788,Gbafth,Sierra Leone,,
1789,Gbafth,Sierra Leone,,
1790,Gbafth,Sierra Leone,,
1791,Gbafth,Sierra Leone,,
1792,Gbafth,Sierra Leone,,
1793,Gbafth,Sierra Leone,,
1794,Gbafth,Sierra Leone,,
1795,Gbafth,Sierra Leone,,
1796,Gbafth,Sierra Leone,,
1797,Gbafth,Sierra Leone,,
1798,Gbafth,Sierra Leone,,
1799,Gbafth,Sierra Leone,,
1800,Gbafth,Sierra Leone,,
1801,Gbafth,Sierra Leone,,
1802,Gbafth,Sierra Leone,,
1803,Gbafth,Sierra Leone,,
1804,Gbafth,Sierra Leone,,
1805,Nkhotakota,Malawi,,
1806,Nkhotakota,Malawi,, because malaria its too dangerous aperson can easy  die at the same spot if a person not receive afast treatment.                                                                                                                               
1807,Nkhotakota,Malawi,,
1808,Nkhotakota,Malawi,,
1809,Nkhotakota,Malawi,,
1810,Nkhotakota,Malawi,,
1811,Nkhotakota,Malawi,,
1812,Nkhotakota,Malawi,,
1813,Nkhotakota,Malawi,,
1814,Nkhotakota,Malawi,,
1815,Nkhotakota,Malawi,,
1816,Nkhotakota,Malawi,,
1817,Nkhotakota,Malawi,,
1818,Nkhotakota,Malawi,,
1819,Nkhotakota,Malawi,,
1820,Nkhotakota,Malawi,,
1821,Nkhotakota,Malawi,,
1822,Nkhotakota,Malawi,,
1823,Nkhotakota,Malawi,,
1824,Nkhotakota,Malawi,,
1825,Nkhotakota,Malawi,,
1826,Nkhotakota,Malawi,,
1827,Nkhotakota,Malawi,,
1828,Nkhotakota,Malawi,,
1829,Nkhotakota,Malawi,,
1830,Nkhotakota,Malawi,,
1831,Nkhotakota,Malawi,,
1832,Nkhotakota,Malawi,,
1833,Gorongosa,Mozambique,,
1834,Gorongosa,Mozambique,,
1835,Gorongosa,Mozambique,,
1836,Gorongosa,Mozambique,,
1837,Gorongosa,Mozambique,,
1838,Gorongosa,Mozambique,,
1839,Gorongosa,Mozambique,,
1840,Gorongosa,Mozambique,,
1841,Gorongosa,Mozambique,,
1842,Gorongosa,Mozambique,,
1843,Gorongosa,Mozambique,,
1844,Gorongosa,Mozambique,,
1845,Gorongosa,Mozambique,,
1846,Gorongosa,Mozambique,,
1847,Gorongosa,Mozambique,,
1848,Gorongosa,Mozambique,,
1849,Gorongosa,Mozambique,,
1850,Gorongosa,Mozambique,,
1851,Gorongosa,Mozambique,,
1852,Gorongosa,Mozambique,,
1853,Gorongosa,Mozambique,,
1854,Gorongosa,Mozambique,,
1855,Gorongosa,Mozambique,,
1856,Gorongosa,Mozambique,,
1857,Gorongosa,Mozambique,,
1858,Gorongosa,Mozambique,,
1859,Gorongosa,Mozambique,,
1860,Gorongosa,Mozambique,,
1861,Gorongosa,Mozambique,,
1862,Gorongosa,Mozambique,,
1863,Gorongosa,Mozambique,,
1864,Gorongosa,Mozambique,,
1865,Gorongosa,Mozambique,,
1866,Gorongosa,Mozambique,,
1867,Gorongosa,Mozambique,,
1868,Gorongosa,Mozambique,,
1869,Gorongosa,Mozambique,,
1870,Gorongosa,Mozambique,,
1871,Gorongosa,Mozambique,,
1872,Gorongosa,Mozambique,,
1873,Gorongosa,Mozambique,,
1874,Gorongosa,Mozambique,,
1875,Gorongosa,Mozambique,,
1876,Gorongosa,Mozambique,,
1877,Gorongosa,Mozambique,,
1878,Gorongosa,Mozambique,,
1879,Gorongosa,Mozambique,,
1880,Gorongosa,Mozambique,,
1881,Gorongosa,Mozambique,,
1882,Gorongosa,Mozambique,,
1883,Gorongosa,Mozambique,,
1884,Gorongosa,Mozambique,,
1885,Gorongosa,Mozambique,,
1886,Gorongosa,Mozambique,,
1887,Gorongosa,Mozambique,,
1888,Gorongosa,Mozambique,,
1889,Gorongosa,Mozambique,,
1890,Gorongosa,Mozambique,,
1891,Gorongosa,Mozambique,,
1892,Gorongosa,Mozambique,,
1893,Gorongosa,Mozambique,,
1894,Gorongosa,Mozambique,,
1895,Gorongosa,Mozambique,,
1896,Gorongosa,Mozambique,,
1897,Gorongosa,Mozambique,,
