Index,RStation,Country,SMS
1341,Breeze,Zambia,Fear AIDS Bcoz it is not curable while malaria can be cured if it is treated early. Am a YOUNG boy CK BANDA PETAUKE                                                                                                                                            
1342,Breeze,Zambia,"Fear AIDS it,s incurable (JOSEPH PHIRI) Chipembe Village                                                                                                                                                                                                       "
1343,Breeze,Zambia,"fear  AIDS,because  there  is  no  cure  of  AIDS.AM  DICKSON   CHIPARAMBA  KUZEMBA  VILLAGE.                                                                                                                                                                  "
1344,Breeze,Zambia,FEAR HIV/AIDS  HAS NO CURE  CHARLES CHIRWA(CHACHI)  KAZALA-PETAUKE                                                                                                                                                                                             
1345,Breeze,Zambia,FEAR AIDS CHIFUKWA ILIBE MANKHWALA.   NDINE   M    KWENDA PETAUKE                                                                                                                                                                                              
1346,Breeze,Zambia,"Fear   AIDS  ,bcoz it  z   an curable. Chato  Banda, from  petauke,sitambuli  vllage                                                                                                                                                                           "
1347,Breeze,Zambia,"Fear, AIDS because it's end is death.Malesi zulu petauke.                                                                                                                                                                                                      "
1348,Breeze,Zambia,"FEAR : AIDS ,it has no cure & is so stigmatized,morover it is just contractd unlik malaria wich is brot by parasite.BA MUSONDA MWAUME KAPIRIMPHIKA SCH CHADIZA                                                                                                 "
1349,Breeze,Zambia,FEAR  AIDS  COZ IS A VERY  DANGEROUS  DISEASE AND ITS CURABLE  AS A RESULT  LETS AVOID THIS IAM A 45YRS LADY FROM UNDI TURN OFF                                                                                                                                
1350,Breeze,Zambia,fear    aids cifukwa ndi matenda akatengela ndipo alibe makwala tendai mchenga                                                                                                                                                                                 
1351,Breeze,Zambia,FEAR  AIDS THERE NO CURE  ONCE AFFECTED.NO NET TO SLEEPIN EITHER. AMOJO  MWASEMPHANGWE                                                                                                                                                                         
1352,Breeze,Zambia,"FEAR  AIDS COZ  THERE IS  NO PROPER  GRAG,WICH WE CAN USE 2 KILL THE dieses.AGATHA SOKO from katete.                                                                                                                                                           "
1353,Breeze,Zambia,"fear aids, bcoz i cnt manage drnkng alot of arvs evrydy,dumisani mkangala.petauke minga.                                                                                                                                                                       "
1354,Breeze,Zambia,Fear  AIDS  chifukwa  ilibe  mankwala  ukaitola  mpaka m'manda.Malama  mwale [boy] frm  chiparamba.                                                                                                                                                            
1355,Breeze,Zambia,Fear  AIDS  SICHILISIKA IMASAUSA   MERCY  LUNGU . NYAMULENGULA  V.  CHIEF  NDAKE                                                                                                                                                                               
1356,Breeze,Zambia,FEAR  AIDS  BECUSE NO  MADECIN  gYACOBO M!BUSA  CHILEKATI PETAUKE                                                                                                                                                                                              
1357,Breeze,Zambia,Fear AIDS BCAUSE IS A KILLER DISEASE AGNES MWANDILA SINDA                                                                                                                                                                                                      
1358,Breeze,Zambia,"Fear  Aids, chifukwa iribe mankhwala, Ndine Bwalya Samuel  Chizowe Village Nyimba.                                                                                                                                                                             "
1359,Breeze,Zambia,"Fear AIDS  bcoz it is  dangarous sroly but til dai ma ARV's its just makes ka doyo wick,but mararia the faster u go to the clinic faster uzapola   .VERONICA NAVUTICA                                                                                          "
1360,Breeze,Zambia,FEAR AIDS. BECAUSE IT IS A DEADLY DESEASE AMONG THE TOP TEN  AND IT IS NOT A CUREABLE. DAKA GIDEON NSIMBO PALACE.                                                                                                                                              
1361,Breeze,Zambia,Fear AIDS becoz is uncurable am victor phiri magodi v/g chief madzimawe am a man.                                                                                                                                                                              
1362,Breeze,Zambia,Fear   AIDS   because it kill slowly but very sure Jusy petauke female                                                                                                                                                                                         
1363,Breeze,Zambia,"Fear AIDS bcoz kills both wife & husband than malaria.Am a man, Obety Daka from petauke                                                                                                                                                                        "
1364,Breeze,Zambia,Fear edzi Ine chifukwa chimene nimayopela edzi pamoyo wanga ninaciona covuta kumwa mankhwala tsiku nditsiku Ndine mr thwala kwa msoro pamudzi wa aubasi ku chigombe                                                                                            
1365,Breeze,Zambia,"Fear aids coz its uncureable,Jastin Bwalya Mwinda frm Nyimba Elias Farm Njarazi                                                                                                                                                                                "
1366,Breeze,Zambia,FEAR AIDS BECAUSE THE ENDING PRODECT IS DEATH.FROM OSCAR UKWIMI B.                                                                                                                                                                                             
1367,Breeze,Zambia,FEAR   AIDS   CHIFUKWA  ILIBE  MANKHALA   NDINE  MACKSON   KAWALA  PHIRI   CHIKOMENI                                                                                                                                                                           
1368,Breeze,Zambia,FEAR  AIDS CIFUKWA MAKWALA NDI OBVUTA   JOHN KATETE SOWET0                                                                                                                                                                                                     
1369,Breeze,Zambia,fear    AIDS beause there are no medicines available that you can take to cure it. am momo baby's petauke police camp.                                                                                                                                         
1370,Breeze,Zambia,FEAR  AIDS  CIFUKWA AIDS NDI MATENDA YAMUYAYA MU  UMOYO. NDINE STEVEN PHIRI JERE COMPAUND.                                                                                                                                                                     
1371,Breeze,Zambia,"Fear     aibs     chifukwa irimbe  makwara  opolesa, ndi mai  lungu nthambo vge chimpembe.                                                                                                                                                                     "
1372,Breeze,Zambia,FEAR  ADZI  BECOUSE  H I V THEIR  IS ALORTS OF  DEASES IN HIV  EG  TB  IM  A DICKSON NYAMBI0  FROM  SSP                                                                                                                                                        
1373,Breeze,Zambia,Fear AIDS cifukwa munthu sukhala ndi umoyo wabwino.NDINE MABVUTO PHIRI FROM MILIASI CIBVUNDULA MFUWE.                                                                                                                                                          
1374,Breeze,Zambia,"FEAR, AIDS BECOUSE  THEIR  IS  NO  CURE AIDS  AND IT  TAKES  LONG TIME  WHEN  ITS SAFFERING THEN THAT ITS  DIED.  IAM  JIMMY KANYINJI                                                                                                                          "
1375,Breeze,Zambia,"FEAR AIDS COS WE HAVE A CHANCE TO AVOID GATING THIS DIESEASE BUT MALALIA IT MAY BE COMES SUDENLY, I'M A BOY OF 25 YEAS OLD WHYSON BANDA KACIGAMBA VLGE IN MICEMBO SINDA DISTRICT.                                                                              "
1376,Breeze,Zambia,Fear  aìds chìfukwa anthu amafa zaka zonse ìlìbe mukulu olo mwana ndine waly mnyeche                                                                                                                                                                           
1377,Breeze,Zambia,"FEAR AIDS BECAUSE MALARIA CAN BE PREVENTED AND CURED, BUT AIDS HAS NO CURE ONLY PREVENTION. AM DISTANCE DANIELS MITUNDA MBEWE MPHOMWA MAMBWE DSTRCT.                                                                                                           "
1378,Breeze,Zambia,FEAR  AIDS  MALERIA  AMATHESA MAGAZI  AMUNTHU KOMANSO MADZI  NGATI TACEDWA KUPITA  KUCIPATARA  NDINE ACKIM  DAKA KUNO  KUCIYEWE SECTION CHEAF  MISHOLO                                                                                                         
1379,Breeze,Zambia,"FEAR   AIDS  CIFUKWA, NDI MATENDA YOPYA SIYAFUNA KULEKEZA KUMWA MAKWALA KUFIKILA KUMWALILA NDINE RICHARD PETAUKE                                                                                                                                               "
1380,Breeze,Zambia,"Fear AIDS bcoz it has not yet discovered original medicene than malaria . NELSON CHIRWA ,CIPANA VILLAGE, CHIEF MWANJAWANTHU , PETAUKE.                                                                                                                         "
1381,Breeze,Zambia,Fear AIDS Chifukwa siyichilisidwa. CHILOWE LUNGU. KACHOLOLA MARKET. A MAN.                                                                                                                                                                                     
1382,Breeze,Zambia,"FEAR AIDS COS WE HAVE A CHANCE TO AVOID GATING THIS DIESEASE BUT MALALIA IT MAY BE COMES SUDENLY, I'M A BOY OF 25 YEAS OLD WHYSON BANDA KACIGAMBA VLGE IN MICEMBO SINDA DISTRICT.                                                                              "
1383,Breeze,Zambia,FEAR   AIDS  DONT PLAY WITH AIDS.THAN MALARIA AIDS IS THEY BAD. I M RICHARD NYIRONGO MWANA WA ALOVINALA PETAUKE BOMA.                                                                                                                                          
1384,Breeze,Zambia,"FEAR AIDS BKOZ MANY PIPO A SAYG AIDS AIDS,SO WENI WE HV IT,WILL B UNSABLE.MR F CHASANDA MLANZI SCH.                                                                                                                                                            "
1385,Breeze,Zambia,"FEAR   AIDS  CIFUKWA, NDI MATENDA YOPYA SIYAFUNA KULEKEZA KUMWA MAKWALA KUFIKILA KUMWALILA NDINE RICHARD PETAUKE BOMA MWANA WA ALOVINALA                                                                                                                       "
1386,Breeze,Zambia,"""Fear   aids,becoz  no  cure  elizabeth  sakala  minga  mission  hospital.
  ""                                                                                                                                                                                 "
1387,Breeze,Zambia,"""FEAR  AIDS IT HAS NO CURE YET. THOLE L. L
  ""                                                                                                                                                                                                                 "
1388,Breeze,Zambia,"""Fear AIDS bcoz it has know crure
  ""                                                                                                                                                                                                                          "
1389,Breeze,Zambia,"""FEAR AIDS BKOZ IS EVERLASTING LIFE DISEASE.MR F CHASANDA MLANZI/V.    
  ""                                                                                                                                                                                    "
1390,Breeze,Zambia,"""FEAR AIDS CHIFUKWA SIPOLA NDINE MR ZULU KELLY NAVUTIKA 
  ""                                                                                                                                                                                                   "
1391,Breeze,Zambia,"""FEAR AIDS CHIFUKWA ELIBE MANKHWALA NDINE PATRICK PHIRI KAWINGWA V/GE CHIEF CHANJE  
  ""                                                                                                                                                                       "
1392,Breeze,Zambia,"""FEAR  AIDS  THE REASON IS THAT AIDS HAS NO CURE.VICTOR MSONI KAZIMULE.
  ""                                                                                                                                                                                    "
1393,Breeze,Zambia,"""FEAR AIDS BECAUSE IT HAS NO COMPLETLY TREATMENT WHILE MALARIA HAS TREATMENT LUFEYO PHIRI CHIOZA FARM SINDA,MAN.
  ""                                                                                                                                           "
1394,Breeze,Zambia,"""Fear AIDS becoz it has no cure Tiyese.
  ""                                                                                                                                                                                                                    "
1395,Breeze,Zambia,"""Fear:Adis, da problem wth ADIS iz u cant know at da some time althou ua tested. u can kno after sm months dat u a posetive. 2 maleria is almost some but both kills . FRANCIS PHIRI     ""                                                                     "
1396,Breeze,Zambia,"""Fear aids coz aids has no quire it kills and it has killed many people it is a killer disease.kashobondo enerst.katopola 
  ""                                                                                                                                 "
1397,Breeze,Zambia,"""FEAR AIDS 1TAYAKWATUMUTI 2TABAPOLANGAWALWALA 3UMUTIWA.ADIS.NIMFWA.ECHONDAITINA!JOHN.SIMUKANGA.CHIMATE 
  ""                                                                                                                                                    "
1398,Breeze,Zambia,""" FEAR  AIDS after having it they is no quare .From nawakwi aaron jubeva
  ""                                                                                                                                                                                   "
1399,Breeze,Zambia,"""FEAR AIDS COZ THIS DEASES NEVER B HILLED UNTIL U DIE AM JOYCE PHIRI LADY CHANIDA BORDER.
  ""                                                                                                                                                                  "
1400,Breeze,Zambia,"""Fear aids has no cure Felisters zulu aim girl at kabvuma
  ""                                                                                                                                                                                                  "
1401,Breeze,Zambia,"""fear  AIDS  it has no cure. GRACE  CHIPARAMBA.AWOMAN.
  ""                                                                                                                                                                                                     "
1402,Breeze,Zambia,"""Fear AIDS cifukwa ilibe mankwala ndine Calo Mafungausi Bombwe School mukazi 
  ""                                                                                                                                                                              "
1403,Breeze,Zambia,"""Fear AIDS. Coz has no cure. Ester phiri sakala
  ""                                                                                                                                                                                                            "
1404,Breeze,Zambia,"""FEIR AIDS BcZ IT KILLS  SLOWLY FROM  THOMAS MWANZA.                                                                                                                                                                                                           "
1405,Breeze,Zambia,"""Fear: HIV            bcoz of H.I.V cases are very high in young pipo.  ndipo matenda aya alibe makwala.Trisha mwale katete                                                                                                                                    "
1406,Breeze,Zambia,"""Fear     Edzi      Chifukwa   Yilibe  Mangwala    Ndine  Aywell   Phiri   Mozambique  CHIFE  KADUKU                                                                                                                                                           "
1407,Breeze,Zambia,"""FIRA   AIDS   nimaopa     chifukwa sukhandiumoyo  wozidarira  ndine ackras  chifuka  sinda
  ""                                                                                                                                                                "
1408,Breeze,Zambia,"""Fear  Aids  chifukwa  ilibe  mankwala  ndine  GIFT  kuno  ku  fisheni                                                                                                                                                                                         "
1409,Breeze,Zambia,"""Fier AIDS! Aids Ngakhare ungamwe mankhwala koma sidzatha ine MADALITSO PHIRI malawi mchinji                                                                                                                                                                   "
1410,Breeze,Zambia,"""FEAR      HIV/AIDS,  because there is no cure. LANGSON JEFREY SARAT. Manjanja village                                                                                                                                                                         "
1411,Breeze,Zambia,"""Fear AIDS cifukwa ilibe mankwala Calo Khondowe Bombwe School katete                                                                                                                                                                                           "
1412,Mudzi Wathu,Malawi,"Edzi,chifukwa imafuna zokudya zosinthasintha,komasokamwedwekamankwala.lne man  nyodo.                                                                                                                                                                          "
1413,Mudzi Wathu,Malawi,AIDS.ZIFUKWA ZAKE NAZI:ukaitenga malire ake ndikumwalira pamene malungo amatha kuchizika.                                                                                                                                                                      
1414,Mudzi Wathu,Malawi,The most dangerous disease is AIDS : Coz the HIV destroys the immune system any disease a person suffers is incurable.                                                                                                                                         
1415,Mudzi Wathu,Malawi,AIDS NDIYOPSA CHIFUKWA SICHITSIKA KOMAKUPEWA. MALUNGONSO NDIOOPSA KOMA AMACHIZIKA BOLA KUGONA MU NET YOCHAPIDWA BWINO.                                                                                                                                         
1416,Mudzi Wathu,Malawi,AIDS NDIYOPSA CHIFUKWA SICHITSIKA KOMAKUPEWA. MALUNGONSO NDIOOS                                                                                                                                                                                                
1417,Mudzi Wathu,Malawi,EDZI NDIYO YOWOPSA CHIFUKWA ILIBE MAMKHWALA KOMA  MALUNGO ALINDIMANKHWALA INE PATISON MWALE KWA JANA                                                                                                                                                           
1418,Mudzi Wathu,Malawi,EDZINDIYOVUTA  ILIBE  MANKHALA  MALUNGO  AMAPEWEKA  NDINE    BABILAS   ALONI  KUCHOKELA  KWACHI  NTANDA  ZIKOMO                                                                                                                                                
1419,Mudzi Wathu,Malawi,"The greatest enemy in the world is called""AIDS"".AIDS is akiller than desease ungathe kupewa ngati ukugona munet.Am Juve's                                                                                                                                      "
1420,Mudzi Wathu,Malawi,EDZI YOWOPSA CHIFUKWA SIKUTHA MTHUPI LA MUNTHU MARUNGO AMATHA MAYI SEMU KWA CHILOWA                                                                                                                                                                            
1421,Mudzi Wathu,Malawi,EDZI NDI YOOPSA IKAGWIRA MUNTHU YAGWIRA PAMENE AMACIZIKA. INE MAIDA KUMCHINJI KUMAYADI.                                                                                                                                                                        
1422,Mudzi Wathu,Malawi,NDINE SIKUBWEZA KUNOKWAMPAMA EDS IS NOTGOOD                                                                                                                                                                                                                    
1423,Mudzi Wathu,Malawi,"EDZI UMAVUTITSA NAYO MAKOLO KUGULA ZANKHULI YOITENGA WEKHA, JANE KWA CHAWALA                                                                                                                                                                                   "
1424,Mudzi Wathu,Malawi,EDZI  IMAVUTA CHIFU  KWA  ILIBE  MANKHA  LA MALUNGO NDIYABWINO  CHIFUK  WA  ALINAWO  MANKHALA  NDINE       KAFELENI  ALONI          KWACHIMTANDA                                                                                                               
1425,Mudzi Wathu,Malawi,Matenda Edzi Ndiyoopsa Ndine Levison Chichitike Kwa Chikhasu                                                                                                                                                                                                   
1426,Nam Lolwe,Kenya,Fear Hiv and aids since it has no cure                                                                                                                                                                                                                         
1427,Nam Lolwe,Kenya,FEARE AIDS AN ATOTI OGOLA JAMANDAS FROM KAMARIGA ALUORE NE KECH OCHAMO DEL SPIDI MODHIERA NONO. OMIYO ALUORE MATHOTH SANA                                                                                                                                      
1428,Nam Lolwe,Kenya,"Fired,HIV AIDS,because this is a desease that is no cured,also many pple knew that a persion with aid has already die.Abele from,gul bar kwamudhi.                                                                                                             "
1429,Buddu,Uganda,FEAR AIDS  kuba talina dagala                                                                                                                                                                                                                                  
1430,Buddu,Uganda,FEAR AIDS  no cure                                                                                                                                                                                                                                             
1431,Buddu,Uganda,FEAR AIDS stigma in society                                                                                                                                                                                                                                    
1432,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1433,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1434,Buddu,Uganda,FEAR AIDS i fear taking ARVs                                                                                                                                                                                                                                   
1435,Buddu,Uganda,FEAR AIDS  ndabye abantu bangi obulumi bwe bayitamu nga bafunye aids                                                                                                                                                                                           
1436,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1437,Buddu,Uganda,Fear aids  i have seen people suffering alot with serious infections..                                                                                                                                                                                         
1438,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1439,Buddu,Uganda,"FEAR AIDS  its hard to give birth to health child,  i don't want infect my child                                                                                                                                                                               "
1440,Buddu,Uganda,FEAR AIDS talina dagala                                                                                                                                                                                                                                        
1441,Buddu,Uganda,FEAR AIDS  IT CAUSE A LOT OF DEPRESSION                                                                                                                                                                                                                        
1442,Buddu,Uganda,AIDS                                                                                                                                                                                                                                                           
1443,Buddu,Uganda,FEAR AIDS  i don't want to take ARVs coz of there side effects                                                                                                                                                                                                 
1444,Buddu,Uganda,FEAR AIDS PIPO LOOK AT YOU AS SOMEONE IRRESIPONSIBLE                                                                                                                                                                                                           
1445,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1446,Buddu,Uganda,FEAR AIDS  some don't accept people with AIDS                                                                                                                                                                                                                  
1447,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1448,Buddu,Uganda,FEAR AIDS  if you get infected its hard to look after your family                                                                                                                                                                                              
1449,Buddu,Uganda,FEAR AIDS  I DONT THINK I CAN TAKE ARVS REGULARLLY                                                                                                                                                                                                             
1450,Buddu,Uganda,FEAR AIDS abantu batandika okundowoloeza nti ndi mwenzi nyo                                                                                                                                                                                                    
1451,Buddu,Uganda,FEAR AIDS  you lose hope                                                                                                                                                                                                                                       
1452,Buddu,Uganda,FEAR AIDS i?ve seen people getting chronic illiness due to AIDS                                                                                                                                                                                                
1453,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1454,Buddu,Uganda,FEAR AIDS  no cure                                                                                                                                                                                                                                             
1455,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1456,Buddu,Uganda,FEAR AIDS  MARRIAGE BREAKAGES                                                                                                                                                                                                                                  
1457,Buddu,Uganda,FEAR AIDS  its not easy to maintain better life after getting aids                                                                                                                                                                                             
1458,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1459,Buddu,Uganda,FEAR AIDS  brings grief  to you and your family                                                                                                                                                                                                                
1460,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1461,Buddu,Uganda,FEAR AIDS  HOW CAN LIVE WITH THAT CRONICAL PROB.                                                                                                                                                                                                               
1462,Buddu,Uganda,FEAR AIDS  no cure                                                                                                                                                                                                                                             
1463,Buddu,Uganda,FEAR AIDS  nkyagala okuzala abaana nga balamu                                                                                                                                                                                                                  
1464,Buddu,Uganda,FEAR AIDS  coz aids has no cure                                                                                                                                                                                                                                
1465,Buddu,Uganda,FEAR AIDS  LEADS TO ISOLATION FROM FRIENDS                                                                                                                                                                                                                     
1466,Buddu,Uganda,FEAR AIDS WHO?S GOING TO LOOK AFTER MY FAMILY IF I DIE                                                                                                                                                                                                         
1467,Buddu,Uganda,FEAR AIDS  fear to die                                                                                                                                                                                                                                         
1468,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1469,Buddu,Uganda,FEAR AIDS i fear taking drugs                                                                                                                                                                                                                                  
1470,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1471,Buddu,Uganda,FEAR AIDS   when you getting infected always you think about you death instead planning for the future                                                                                                                                                         
1472,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
1473,Buddu,Uganda,FEAR AIDS                                                                                                                                                                                                                                                      
