,RStation,Country,SMS
1910,Nam Lolwe,Kenya,"Ndheckz Mar Nyakongo Aruako Revent Jak,Peter Jakinyozi,Edwin Mbori,Domnik Chuade,karow Wakajulu,Wuod Jiariyo,Alili Mar Ombei,Rispa Opiyo,Odhiambo Ja No ,Young Boy,Edy Mar Geta                                                                                "
1911,Nam Lolwe,Kenya,"Ogilo jauma,amoso min plot pamela akinyi,dani peres,dada penina,monica odongo,alili ombei,nyawara olweny,silvia jatisat,Ondith nyakinda kod min plot mare,min vivian kod wuon plot mbuya oyoko.ote Nyasaye ber.                                                "
1912,Nam Lolwe,Kenya,"PETER  OCHIENG  JAKINYOZI  MAR  SEME  RATTA  ABUDHO  GI  KARO  MAR  KAJULU, FLO  MAR  MASOGO, ALILY  MAROMBEYI, DOMNICK  CHWADE, WUOD  JIARIYO, JAYALO  PETER  ODUMA, RISPA  MAR  MISAMBI, MREFU  MAR  KIBOSWA, NYATHIKICH, FREDRICK  MAR  CHABERA, ALOICE  MAR"
1913,Nam Lolwe,Kenya,"Abito mina beldine hi.five an wuod gouta ruakna,debas wuod nyagoro,caro kajulu,lucy nyanaya,awino tangne dendi,kod meshak juma.                                                                                                                                "
1914,Nam Lolwe,Kenya,Abito kod beldine mano en incest maen taboo makajanyuol ofwenyo to nyaka oyaw boka motegno bange opog nyithindogo an sam okelo mar oruba ei uriri mig. county                                                                                                  
1915,Nam Lolwe,Kenya,"Onyi Bude Boon ng'uono ne Sansiro, Jakibugu, Dedem, Benta, Rebman, Afamer, Rispa, Hasan, Mourine, Obaka, Nyachieo, Nyakabonyo, Ong'ele, Odiero. An Bude Boon.                                                                                                  "
1916,Nam Lolwe,Kenya,An odero mrefu ka an yieke wachiew maber to V.O.J awuoro ni jotend migawo ma siaya otamre.                                                                                                                                                                     
1917,Nam Lolwe,Kenya,nwona kar olago gi rosa okawinjo maber an nyarosiri                                                                                                                                                                                                            
1918,Nam Lolwe,Kenya,Lolwe.Victor amor gi Nai County.to gi H.B County.to KSM County.en jachien mane! moluor Ranguma. owenindo ochiew owenindo. Austin oyamo wuod obambo.                                                                                                            
1919,Nam Lolwe,Kenya,AN  CHRIS NYAR GI GUMBO  AWINJI  MALER  LIZE TO KETNA  TUSKER MOWERO  CONI                                                                                                                                                                                     
1920,Nam Lolwe,Kenya,"min ocampo kani ndeda kinda gi tich odhine japlastic achiel ma ndeda Jared Okoth,George Otieno,Jacob Okello,Roseline Anyango kod Onyango Othuno kani nyaguda.                                                                                                  "
1921,Nam Lolwe,Kenya,EDWIN ODHIAMBOJAINUNGO DUOKOPACHO JAYALO ODHIAMBOKOYO OMOLO MBUYA BISHOP OMOLO SYLVIA JATISHAT FLO MASOGO DANI PERES IDI MAGETA ISAAC MAKAWUDO ODHIAMBO JANAMBA                                                                                                
1922,Nam Lolwe,Kenya,"Judith osako,moso,ldda,osako,akinyi,francis,joseph,baby mar gi osako                                                                                                                                                                                           "
1923,Nam Lolwe,Kenya,"An lucy nyanaya.akuna kulalane,wuon nyithinda bishop wuod mango.lawi otieno.wuod go uta.jack oguda.nelly obunga.jatisat.min sham.dani peres.aloice chomo.                                                                                                      "
1924,Nam Lolwe,Kenya,Ancaro markajulu rwakna jakinyozi dedem odemba ogeda janeopiyo tom opiyo jack oguda wuodkwaru                                                                                                                                                                  
1925,Nam Lolwe,Kenya,An kenedi gori jachiga akuna kulala gi min oda feni gori owili odiero karo mar kajulu osako jasoda                                                                                                                                                             
1926,Nam Lolwe,Kenya,an wuod ji 2 apako yesu gi bobi omwandho owino were atice nyaurudi obaka mak opiyo jakinyozi tom opiyo gi lawi otieno otieno                                                                                                                                   
1927,Nam Lolwe,Kenya,"Joshua ochieng mar tagabi nguonomar nyasayene agos jarodi ochieng tela, aila mangongo, nyithinda kaka kevin,rosy,ida,alex. giduto kagin gem koyoo.                                                                                                             "
1928,Nam Lolwe,Kenya,An lucy nyanaya.pakna yesu gi.wuon nyithinda bishop wuod mango.wuod ji ariyo.nyakwar opiso.kanyolingo.lawi otieno.wuod go uta.min sham.                                                                                                                        
1929,Nam Lolwe,Kenya,"An Ken Ruadhmogo kani kamnara,nguono mar nyasaye dhine man Boyo,Oria wuod Ano,Kaburu wuod Lwala kadawa,Paul manager,kaachiel kod olidho rrr...                                                                                                                 "
1930,Nam Lolwe,Kenya,"An Soja Soweto Ruakna Obaka,risper,wuod Ji Ariyo,peter Shikuku,caro Mar Kajulu,dedem,budeboon,sansiro,min Lolwe,asali Jaraha Kod Coblo.                                                                                                                        "
1931,Nam Lolwe,Kenya,AN OWINO AGEN KA BACHO ATIMO MOS KWUOM THO MAR OGARA TAHIFA                                                                                                                                                                                                    
1932,Nam Lolwe,Kenya,HELLO. jael an ochieng'jagem ka an uyoma.awinji mos  aloko yamo gim oda.  kaachiel.gimamana kod osiepna.nelson rading' kagin gem masogo                                                                                                                        
1933,Nam Lolwe,Kenya,George akinyi                                                                                                                                                                                                                                                  
1934,Nam Lolwe,Kenya,"lolwe   ma  david   Obia  wuod  seme  kowe   liz  aselal  eyamo  lok  na  yamo  kod  min  oda  Nancy   Akinyi ,Aruto,mourice   Ayieye,OMOLO,  kod  joma  tiyo  ne  scopion  team  duto  te                                                                     "
1935,Nam Lolwe,Kenya,An caro markajulu aloko yamogi minlolwe jakinyozi dhex wikimosh wuodjiariyo john hasane wuodkwaru                                                                                                                                                              
1936,Nam Lolwe,Kenya,  DAV GI LIZ AWINJOU MALER AN ASIPO JAOKO MAR WANYAMA RUSINGA ALOKO YAMO GI JOGI  JAODA MIN EVANS  MINE NA MAGRET NGAI DOSILA NGAI  ASHA JAOKO OTIENO SUBA KASONGO OKEYO   CALVIN OBUYA  OMONDI OGOLA MAR IMBO UHANYA NYAR NER NERWA JOSINTA OLUDHE MONGEE NI M
1937,Nam Lolwe,Kenya,"Lolwe  an  omondi  tunya  mar  malela  mosna  ben  jaboka,okelo  lasi,jj  to  vio j  nyis  jakakmenga  oweyo  marach  ewi  gor  gor  biro  maliet .                                                                                                            "
1938,Nam Lolwe,Kenya,an  oburu  adhiambo  mar  seme  korwenje  market  aloko   yamo  kodu  duto  tee  aloko  yamo  knd  min  booker  min    baby  tairas  awange  jalango  otieno  wendi  jarata  asali   jaraha  ote  ni  asali  jaraha  ni  ngama  mosi  ema   imoso              
1939,Nam Lolwe,Kenya,"NDHEKZ MAR NYAKONGO ARUAKO  EDY MAR MAGETA,PETER OCHIENG, ASALI JARAHA.RV JAK,TAIRAS AWAGE,WUOD JIARIYO,NYAWARA OLUENY,ATIS NYAURUNDA,CARO WAKAJULU,OCHILO,ALILY OMBEI,BENJAMIN ADIPO,TOM OPIYO,ODHIAMBO JA NO,DIBAS,NIKO JUMA,PETER OBAKA,OMONDI WIKIMOS,RISPA"
1940,Nam Lolwe,Kenya,"JAYALO BENARD MAR RUTEK MKT MOSNA OCHILLO  YALA, JA TSHIRT, MIDEGA, ENOCK AHERO, BEATRIECE OWAWA, CARO KAJULU, ALILY KIBOS, MIN BRIAN, ALILY OMBEYI, JUDITH JAKAMERA, MIN DIANA, NYAUGENYA J.J, FLOW MASOGO, KANYOLINGO.                                       "
1941,Nam Lolwe,Kenya,"An Owino Were Mar Kabondo  Misambi Aloko Yamo Gi Peter Obaka, Alili Mar Ombehi, Jayalo Oduma, Caro Mar Kajulu, John Asan, Ochieng Nyakure, Respar Mar Misambi,  Wuod Ji 2,  Kod Bobi Omwandho, Ote Ni Kwee Mar Kristo Obed Gi Jo Yuoth Mar Siany Lutheran.     "
1942,Nam Lolwe,Kenya,"JAYALO BENARD MAR OGWEDHI ENTERPRISE OMBEYI MKT MOSNA  OTIENO OGINGA,CARO KAJULU, DIVAZ MAR AHERO, ALILY, OUS JACHIGA,ELLY ODONGO, MIN AGESH, MIN ROBBY.                                                                                                       "
1943,Nam Lolwe,Kenya,"MIN BRIAN MAR  RUTEK MKT MOSNA JAYALO BENARD, OPATO, MIN LIZ, RISPAR, LILIAN KIBOS, REV JACK, NYATHIKICH, JACOB FUNDY, DIVAZ, ENOCK MAR AHERO, PAMELA ODUMA, GRACE WERE,JAURUNDA,MARY AWUOR, OKOYO, ODUMA, JAYALO OYIER.                                       "
1944,Nam Lolwe,Kenya,Please call me thank you.                                                                                                                                                                                                                                      
1945,Nam Lolwe,Kenya,"Nyakogiri achiel amoso mwalimu, pasta ndege,nyarerwa mag north ramba,nyamrerwa mag nyagoko   east,kod  Chew mar north ramba.                                                                                                                                   "
1946,Nam Lolwe,Kenya,"ADWARO NYAKO MAJAIGNI 18, 20. anto an ajaiga 24. som nambanano. 0702715175. an reagan.                                                                                                                                                                         "
1947,Nam Lolwe,Kenya,"Good after noon  Nya Lieta, An Otis Nyundo wuod Oniang'o, mos mag kinda gitich odhinane Mamana  Salome Oniang'o, George Akinyi, Asali Jaraa, Otis Opondi, Odhiambo janamba,    Saitoti mar Nyabera, Wuod Kwaru, Walter Okech, Odhiambo maka Okina, ote gona Kam"
1948,Nam Lolwe,Kenya,"mrefu achiel mar kiboswa.yamo emakoro aloko mos gi peter oloo,sylvia ja t-shirt,ambuki wuod bam got,owuor pusi,lilian mar kibos,osako ja soda,nyakogiri,ajigo okulo,pastar elijah ojwang,omondi pande,owuor pusi,onyango jakibugu                              "
1949,Nam Lolwe,Kenya,"Lolwe.Lawi O.Otieno mar Chemosit,amoso min oda Lucy nyathigi Osawa,Owino Jang'iya,Wuod Jariyo,Atis nyaurudi,Slivia Ja-t-Shirt,Rispa Opiyo,Lucy nyanaya,Alois Chomo.gi Pastor Owino Jomba.                                                                      "
1950,Nam Lolwe,Kenya,"An  Yogo  olili  ja  tau  achiel  kani  luanda  kotieno, mos  mag  loko  yamo  dhine, Fredy  kani   luanda  kotieno, Atoti  ogola, Ojuang   ongong'a  mar  kamariga, Tau  kani  madiany, Edwin  mbori    kod   Jalango  otieno.                                "
1951,Nam Lolwe,Kenya,"AN ODHIAMBO MAKOKINA MOSNA OCHIENG SANSIRO,SOJA SOWETO,OWINO WERE,ALOICE CHOMO,JOHN HASSAN,PETER OBAKA,ODHIAMBO JANAMBA,EMILLYMIN DAYANA,KOD JOWINJO TEE                                                                                                       "
1952,Nam Lolwe,Kenya,"YAMO OLOKO- AMOSOU KANYO, AN ISAIAH JA AMBIRA UGNJ-   MOS OCHOP NI SUNSIRO, SYLVIA ALUOCH, EDWIN JA INUNGO,MAMA SALI, DANI PEREZ.{ OTE NI MIYAA URU WER MAR LILIAN BY TUSKER}.                                                                                 "
1953,Nam Lolwe,Kenya,"AWINJO RNL EYO MAKARE AHINYA, ALOKO YAMO GI OJUOK OBONGO, ORES MAKABONGO, BEATRICE OWAWA, JAKOM MIDEGA, KANYOLINGO, ODHIAMBO MAKOKINA, SOJA SOWETO KOD MIN LOLWE. OTE JOHERA TE KOD OSIEPENA TE MAWINJO OD WADU AHEROU DUTO AN EMILY MIN DIANA-KANGA. MIYA LENY"
1954,Nam Lolwe,Kenya,Dr.fred omondi outa jasino s.d.a amoso minwa jenifa outa jaoda molly omondi sister susan oloo caro outa mag nakuru nyithinda Ajulo mar nakuru Suzy Ojosho Eva                                                                                                  
1955,Nam Lolwe,Kenya,"Hi j.l vipi hali dadangu?nijitwika ndani ya masafa nikitetemesga.plz nichezee""simba ja uriri""by emma jalamo or""elector""by madanje.nitulize nayo.merimela carwash.                                                                                              "
1956,Nam Lolwe,Kenya,ATOTI OGOLA JAMANDAS FROM KAMARIGA AWINJI FULL KA WAN KOD OKELO LASI ODOYO MIJWEK ONGEYI OGOLA OOKO OGOLA BENJA MIN ODIPO WUOD KAGWA YUORA MEYA MIN PERES KOD KOLY OKADO MAR KAMARIGA. OTE NI TICH MATEK EMA KELO CHIEMO KA UN KANYO.                          
1957,Nam Lolwe,Kenya,"Joshua ochieng mar tagabi alokoyamo agos jarodi,otieno sedy,owino jaugenya,ochieng tela,obala ochonjo kaen gem rangwe.                                                                                                                                         "
1958,Nam Lolwe,Kenya,LOLWE  AN SILVIA  JATISAT AMOSO  WUOD  JI  ARIYO  OGENDA  AFAMA  ALOIS   CHOMO  SALIM  MAR  AMOYO  ISAK  WUOD  ALUOCH  WENDE  ASALI  JARAHA  LIZ  NYAKABONYO  SANSIRO  OUMA  NAMAN  DEDEM  BUNDE  BUN   MIN  SAM  MAMAWA  SALINA  JALANGO  OTIENO  EDWIN  NUNGO
1959,Nam Lolwe,Kenya,mary   odhiambo   kani    soko   moso   jo   new   katena  duto   to   odwoko    erk   ne   ksm   dioces                                                                                                                                                       
1960,Nam Lolwe,Kenya,"First born Nelly obunga mar majengo,aloko yamo gi moi agin,Nancy nelly, owunr pusi.ochieng sansiro,Alily ombei,kanyolingo,Nyawara olweny,owilly odiero,Jakob fundi ndiga,Nait sansiro,Ochilo jayala gi jack oguda.                                             "
1961,Nam Lolwe,Kenya,Lolwe.an ochieng onywera.mar seme nyatigo.awinji maler kod.ambuki.jenga pande.asali jaraha.kod okado koli.                                                                                                                                                     
1962,Nkhotakota,Malawi,"ASAKWATIWE, CHIFUKWA ELINA AKAPHUNZILA ADZAKHALA NDI TSOGOLO LOWALA LOTI NGAKHALE ABALE AKE AZASAMALIDWA MOSAVUTA MAYI OSMAN CHIPATALA KULOZI                                                                                                                  "
1963,Nkhotakota,Malawi,"INE GENERAL KU NKK SEC SCH ,ASAKWATILE BCZ APITILIZE SCHOOL KUTI AKATHANDIZE ABALE AKE                                                                                                                                                                         "
1964,Nkhotakota,Malawi,Amaiwa Akuwonetsakuti ubwinowasukulu saudziwa mwanayo apitilizemaphuzilo                                                                                                                                                                                       
1965,Nkhotakota,Malawi,"Kod anao akanakhala wamuna akadatan? Azao tikusowa ana anzeru kuschool ,beta run small buzness, the death of her father  should nt b chipsinjo kuli edzi zimenez ndizachimidzi kod amayio ndiopunduka ayi sibwino. Shida stambuli Ns                           "
1966,Nkhotakota,Malawi,"ASAKWATIWE, CHIFUKWA ELINA AKAPHUNZILA ADZAKHALA NDI TSOGOLO LOWALA  OSMAN CHIPATALA KULOZI                                                                                                                                                                    "
1967,Nkhotakota,Malawi,"ASAKWATIWE CHIFUKWA SAKUDZIW MOYO WAMAMUNA ANGADZAKWATIWENAYE KOMA MWA ELITAYEKHAYO AKHOZA KUDZAWATHANDIZA MOYO WAWO ONSE NDITHU AKUMULAKWILA INE ROBERT KAMASULA KWA M,NDINDA                                                                                 "
1968,Nkhotakota,Malawi,INE ZAIDI MANDA ASAKWATIWE CHIFUKWA NDALAMA ZABANJA SAZADZIDYA MPAKA KALEKALE.                                                                                                                                                                                 
1969,Nkhotakota,Malawi,Ayiasakwatiwe chifukwatsongolorake liri kusukuluko  ine petro mtenje kunokukasungu                                                                                                                                                                             
1970,Nkhotakota,Malawi,"Watulukira tsikana wacisodzera lonjezo jonas ku ntchisi,elina asakwatiwa apange tsogolo ine ndakana.                                                                                                                                                           "
1971,Nkhotakota,Malawi,ASAKWATILE APITILIZE SUKULU.(BIG)POTTERY KK                                                                                                                                                                                                                    
1972,Nkhotakota,Malawi,INE SHABANI MUSAH -AI ASAKWATILE                                                                                                                                                                                                                               
1973,Nkhotakota,Malawi,ASAKWATIWE APITILIZE SCHOOL.                                                                                                                                                                                                                                   
1974,Mudzi Wathu,Malawi,You have received 10485760 Bytes for internet usage.                                                                                                                                                                                                           
1975,Mudzi Wathu,Malawi,sibwino ayi0 chifukwa amkhala kuti mafupa asanankhweme ndimumphela Ufulu ndine kondwelani kuno kwa LONGWE Kuno KU DOWA                                                                                                                                         
1976,Mudzi Wathu,Malawi,"Ai sibwino,chifukwa umphawi siotha ndi kukwatiwa ,moreen,namitete                                                                                                                                                                                              "
1977,Mudzi Wathu,Malawi,Sibwino.kumeneko ndikumuphera tsogolo.Chiye Kaphala.Katenje T.C.                                                                                                                                                                                               
1978,Mudzi Wathu,Malawi,"AKADZIOTCHE.KWAMSAKA DZIKO,KUNAMBUMA.AYI,SI BWINO,KUKWATIWITSA,M WANAWAZAKA,15,POPEZA, KUTELO,NDIKUMUPHWAN YILA,MAUFULU,AKE,WAMBI RIMBIRI.INE,KADZIOTCHE.                                                                                                      "
1979,Mudzi Wathu,Malawi,INE DALITSO KUNO KWA SICHO SIBWINO CHIFUKWA MWANA AMAFA NDI UCHEBE                                                                                                                                                                                             
1980,Mudzi Wathu,Malawi,Sibwino kutelo (Phelantuni) Mazinga VG.                                                                                                                                                                                                                        
1981,Mudzi Wathu,Malawi,SIBWINO CHIFUKWA MWANA WANKAZIYO SIKAPITOLO YAMAKOLO. KONDWANI KWA MALEPERA V.G                                                                                                                                                                                
1982,Mudzi Wathu,Malawi,INE DALITSO KUNO KWA SICHO SIBWINO CHIFUKWA MWANA AMAFA NDI UCHEBE                                                                                                                                                                                             
1983,Mudzi Wathu,Malawi,"AKADZIOTCHE.KWAMSAKA DZIKO,KUNAMBUMA.AYI,SI BWINO,KUKWATIWITSA,M WANAWAZAKA,15,POPEZA, KUTELO,NDIKUMUPHWAN YILA,MAUFULU,AKE,WAMBI RIMBIRI.INE,KADZIOTCHE.                                                                                                      "
1984,Mudzi Wathu,Malawi,"SIBWINO KUKWATILITSA MWANA ALIWACHIPERE ,PAMENEPO LAMULO LIGWIRE NTCHITO, AFRICANO ,Z,PHIRI MGUBO,                                                                                                                                                             "
1985,Mudzi Wathu,Malawi,"Sibwino chifukwa mumango onjezera mavuto kwa mwanayo , chifukwa sukulu ndiye tsogolo lowala basi ! Ine nyathi mwachumu from mkoko primary.                                                                                                                     "
1986,Mudzi Wathu,Malawi,"Ndbwino chfukwa skulu ndi umphawi sizigwirazana,sukulu imafuna ndalama kuti itheke.ine PEMBA,from mkoko                                                                                                                                                        "
1987,Mudzi Wathu,Malawi,"INE,PAUL,SONIFALA.KWAM SAKADZIKO,KUNAMBUMA. AYI,SIBWINO,KUKWATIWIT SA,MWANA,POPEZA,KUTE LO,SIKUTHETSA,MAVUTO, KOMA,KUONJEZELA,MAVU TO,ENA,PABANJA.INE,PAU L.                                                                                                   "
1988,Mudzi Wathu,Malawi,Ndibwino chifukwa mwina umphawiwo umatha kufika pena povuta nde makolo sangachitire mwina ngati owaphula pa moto wapezeka.Khima Gondwe.mkoko primary                                                                                                           
1989,Mudzi Wathu,Malawi,umenewu ndi ufiti weniweni. ngati umphawi wavuta ndibwino kungoku mwa tamakoswe kuti ufe.ndine ESAYA AUTOMATIC kuno kwa malitino.                                                                                                                              
1990,Mudzi Wathu,Malawi,Ndibwino kuti akwatire basi chifukwa amatha kupeza matandizo enandiena . Ine blackson from mkoko primary.                                                                                                                                                      
1991,Mudzi Wathu,Malawi,SIBWINO UKWATIWITSA MWANA ALI WANG'ONO RABSON UKUCHOKELA KWA LEZANI KUMIKUNDI.                                                                                                                                                                                 
1992,Mudzi Wathu,Malawi,SIBWINO UKWATIWITSA MWANA ALI WANG'ONO RABSON UKUCHOKELA KWA LEZANI KUMIKUNDI.                                                                                                                                                                                 
1993,Mudzi Wathu,Malawi,"AMANGOPANGITSAKUTI MAVUTO AKULE KWAMBIRI, INE REUBEN CHINGOLO, MSAMPHA VILLAGE TA KAYEMBE NAMBUMA DOWA                                                                                                                                                         "
1994,Mudzi Wathu,Malawi,SIBWINO UKWATIWITSA MWANA ALI WANG'ONO MANESS UKUCHOKELA KWA LEZANI KUMIKUNDI.                                                                                                                                                                                 
1995,Mudzi Wathu,Malawi,Ndibwino chifukwa ana amasikwano akuvuta kulimbikira sukulu ine ! Computer dim from mkoko primary.                                                                                                                                                             
1996,Mudzi Wathu,Malawi,SIBWINO UKWATIWITSA MWANA NDIKUPHA MWANA INE WERENGAN KAUMA KUNO KWA CHIDZUMA KU KAPIRI                                                                                                                                                                        
1997,Mudzi Wathu,Malawi,"Sibwino kutelo, Kholo loterolo lipatsidwe chilango. Ine E. Kachingwe kwa Chawantha.                                                                                                                                                                            "
1998,Mudzi Wathu,Malawi,SIBWINO UKWATIWITSA MWANA ALI WANG'ONO JAMSON UKUCHOKELA KWA LEZANI KUMIKUNDI.                                                                                                                                                                                 
1999,Mudzi Wathu,Malawi,"Sibwino chifukwa ngati makolowo akupeza mavuto, nanga mwana ndiye angatani? ndine Kasambeni                                                                                                                                                                    "
2000,Mudzi Wathu,Malawi,"SIBWINOKUKWATIWA,WAN G'ONO,CHIFUKWAMUMUP HERAUFULU,INU,THOKOZA NIKWASAKADZIKO,KUNAM BUMA.                                                                                                                                                                      "
2001,Mudzi Wathu,Malawi,Ndibwino chifukwa wapeza banja wapeza chinthu chabwino !! Ine mr wesly mkoko primary tailoring shop.                                                                                                                                                           
2002,Mudzi Wathu,Malawi,YELEMIYA KWAKAPANGA SIBWINO UKWATITSA MWANA UPHELA TSOGOLO                                                                                                                                                                                                     
2003,Mudzi Wathu,Malawi,"YOSEFE,KWA,MAZAWA,NI DWINO,CHIFUKWA,AMAVU TA,UPITA,KUSUKU.                                                                                                                                                                                                     "
2004,Mudzi Wathu,Malawi,Sibwino ngatiwalephelawankulukuthet samavuto mwanaangatani? maxwel chinkhaka santhe k.u.                                                                                                                                                                       
2005,Mudzi Wathu,Malawi,NDIBWINO UKWATIWITSA MWANA ALI WANG'ONO KUTI ADZIWE DZIKO UKUCHOKELA KWA KABUdula. KUMIKUNDI.                                                                                                                                                                  
2006,Mudzi Wathu,Malawi,NDIBWINO UKWATIWITSA MWANA ALI WANG'ONO KUTI ADZIWE DZIKO UKUCHOKELA KWA KABUdula. KUMIKUNDI.                                                                                                                                                                  
2007,Gorongosa,Mozambique,se voces nao tem nada falar e so fechar aga                                                                                                                                                                                                                    
2008,Gorongosa,Mozambique,si acabar com sem trabalh0?                                                                                                                                                                                                                                    
2009,Gorongosa,Mozambique,O MO FARS É DA ONDE?                                                                                                                                                                                                                                           
2010,Gorongosa,Mozambique,Hauna hauna unomwa kumwa                                                                                                                                                                                                                                       
2011,Gorongosa,Mozambique,"KEM TA INSISTIR EM LIGAR AI,ESSE N SAB K KER.                                                                                                                                                                                                                  "
2012,Nam Lolwe,Kenya,"NO, KORO KANYUOL NO OMEDORE TABU,GIMA ONEGO GI TIM GI PUONJ  NYAKO EDUCATION IS AN EYE OPENER,GI TIMO KAMANO THROUGH FRIENDS CBO MAUYOMA,NITIE KATA NYITHINDO MAGI PUONJ MOSE KADHO E LWETA,MOKO BENDE APUONJO,AN JAPUONJ P.C KORUA JABONDO KIBUYE VILLAGE.""   "
2013,Nam Lolwe,Kenya,No ok onego odhi katedo nikech pok oromo higni 18 an caleb odede wuod anyuongi.                                                                                                                                                                                
2014,Nam Lolwe,Kenya,No b cause Atieno odhi sch. mondi oyud puonjruok                                                                                                                                                                                                               
2015,Nam Lolwe,Kenya,No.Atieno is still young marrying can't help.I'm Atieno.                                                                                                                                                                                                       
2016,Nam Lolwe,Kenya,"no,Atieno is still young according to constitution of Kenya and be4 God it is a sin moreso her parents should still take care of her,                                                                                                                          "
2017,Nam Lolwe,Kenya,No  atieno  pod  tin  kaluwre  gi  pon  masani  chon  ema  ne  nyiri  nyalo  dhitedo  at sixteen                                                                                                                                                               
2018,Nam Lolwe,Kenya,"B OWAWA,NO,1ST SHE'S UNDERAGE,SHE'S NT MATURE,AS U KNOW VERY WEL,EDUCATION IS THE KEY 2 LIFE N STRUGGLING IS THE REAL LIFE.ATIENO ODOG E SCHOOL COZ PINY MASANI KA NYAKO OSOMO GIMA BER AHINYA NIKECH ODHI KONYO SOCIETY,FAMILY NE,MIN GI OTUDRE GI CR MONDO OL"
2019,Nam Lolwe,Kenya,NO.SHE IS STILL  BELOW 18YRS  AND ABOVE. OMONDI MAR RAWI BEACH                                                                                                                                                                                                 
2020,Nam Lolwe,Kenya,No. Atieno.okonego odhi tedo nikech.tedo masani enmar adak kata ionge.dichwo ok dhi dewo min.ae min dhi wachone ni we ngano.an ochieng onywera.mar seme nyatigo.                                                                                               
2021,Nam Lolwe,Kenya,"Joshua ochieng mar tagabi NO atieno okonegore odhikatedokamano,1 podotin, 2,pache podniepach nyathi,3, pokotugo matugorome, atieno odogi, eschool.                                                                                                             "
2022,Nam Lolwe,Kenya,NO.ATIENO POD TIN OSOM. AN AJWALA SADHURU WUOD ASEMBO.                                                                                                                                                                                                         
2023,Nam Lolwe,Kenya,NO atieno kik dhi tedo min otudore gi sirikal olwongne arambe otwekgo an dani peres                                                                                                                                                                            
2024,Nam Lolwe,Kenya,"No coz marrying cant help, but education to a girl child is a benefit to a society at large.katedo shoun,t be the last resort. Dickens from Nyakach Obingo.                                                                                                    "
2025,Nam Lolwe,Kenya,"VOICE, NO!  AT 16 YRS, ATIENO IS STILL A CHILD. MARRIAGE ISN""T A SOLUTION TO THEIR PROBLEMS. THEIR MOTHER SHOULD KNOW  THAT IT'S AN OFFENCE. SHE SHOULD WORK HARD AND SEEK SUPPORT FROM CHILDREN'S DEPARTMENT, BURSARY, NGOS, CBOS,AND WELLWISHERS. I'M OSIO JA"
2026,Nam Lolwe,Kenya,"No,kik mondo odhi tedo min gi obed mos olos gi ywore moro mondo okonye kata oor number moro möndo ngat ma chunye ler oketne gimoro an odhiambo janamba kapiyo                                                                                                  "
